year,city,dallas_avg_temp,global_avg_temp
1820,Dallas,16.88,7.62
1821,Dallas,17.33,8.09
1822,Dallas,17.87,8.19
1823,Dallas,17.46,7.72
1824,Dallas,17.90,8.55
1825,Dallas,18.38,8.39
1826,Dallas,17.93,8.36
1827,Dallas,18.62,8.81
1828,Dallas,18.26,8.17
1829,Dallas,17.89,7.94
1830,Dallas,18.68,8.52
1831,Dallas,16.98,7.64
1832,Dallas,17.81,7.45
1833,Dallas,18.29,8.01
1834,Dallas,18.50,8.15
1835,Dallas,16.58,7.39
1836,Dallas,16.67,7.70
1837,Dallas,17.47,7.38
1838,Dallas,16.54,7.51
1839,Dallas,17.64,7.63
1840,Dallas,17.62,7.80
1841,Dallas,17.66,7.69
1842,Dallas,17.98,8.02
1843,Dallas,17.44,8.17
1844,Dallas,17.92,7.65
1845,Dallas,17.76,7.85
1846,Dallas,18.19,8.55
1847,Dallas,17.06,8.09
1848,Dallas,17.40,7.98
1849,Dallas,17.86,7.98
1850,Dallas,17.74,7.90
1851,Dallas,17.91,8.18
1852,Dallas,17.40,8.10
1853,Dallas,17.17,8.04
1854,Dallas,18.14,8.21
1855,Dallas,17.61,8.11
1856,Dallas,16.93,8.00
1857,Dallas,17.31,7.76
1858,Dallas,17.90,8.10
1859,Dallas,17.91,8.25
1860,Dallas,18.34,7.96
1861,Dallas,18.41,7.85
1862,Dallas,18.35,7.56
1863,Dallas,17.90,8.11
1864,Dallas,17.41,7.98
1865,Dallas,17.95,8.18
1866,Dallas,17.79,8.29
1867,Dallas,18.45,8.44
1868,Dallas,17.61,8.25
1869,Dallas,16.94,8.43
1870,Dallas,17.82,8.20
1871,Dallas,18.27,8.12
1872,Dallas,17.28,8.19
1873,Dallas,17.37,8.35
1874,Dallas,18.24,8.43
1875,Dallas,17.24,7.86
1876,Dallas,17.67,8.08
1877,Dallas,17.53,8.54
1878,Dallas,18.01,8.83
1879,Dallas,18.37,8.17
1880,Dallas,17.75,8.12
1881,Dallas,18.17,8.27
1882,Dallas,18.21,8.13
1883,Dallas,17.77,7.98
1884,Dallas,17.44,7.77
1885,Dallas,16.82,7.92
1886,Dallas,17.22,7.95
1887,Dallas,17.89,7.91
1888,Dallas,17.28,8.09
1889,Dallas,17.71,8.32
1890,Dallas,18.50,7.97
1891,Dallas,17.35,8.02
1892,Dallas,17.21,8.07
1893,Dallas,18.01,8.06
1894,Dallas,17.96,8.16
1895,Dallas,17.02,8.15
1896,Dallas,18.60,8.21
