year,city,country,avg_temp
1820,Dallas,United States,16.88
1821,Dallas,United States,17.33
1822,Dallas,United States,17.87
1823,Dallas,United States,17.46
1824,Dallas,United States,17.90
1825,Dallas,United States,18.38
1826,Dallas,United States,17.93
1827,Dallas,United States,18.62
1828,Dallas,United States,18.26
1829,Dallas,United States,17.89
1830,Dallas,United States,18.68
1831,Dallas,United States,16.98
1832,Dallas,United States,17.81
1833,Dallas,United States,18.29
1834,Dallas,United States,18.50
1835,Dallas,United States,16.58
1836,Dallas,United States,16.67
1837,Dallas,United States,17.47
1838,Dallas,United States,16.54
1839,Dallas,United States,17.64
1840,Dallas,United States,17.62
1841,Dallas,United States,17.66
1842,Dallas,United States,17.98
1843,Dallas,United States,17.44
1844,Dallas,United States,17.92
1845,Dallas,United States,17.76
1846,Dallas,United States,18.19
1847,Dallas,United States,17.06
1848,Dallas,United States,17.40
1849,Dallas,United States,17.86
1850,Dallas,United States,17.74
1851,Dallas,United States,17.91
1852,Dallas,United States,17.40
1853,Dallas,United States,17.17
1854,Dallas,United States,18.14
1855,Dallas,United States,17.61
1856,Dallas,United States,16.93
1857,Dallas,United States,17.31
1858,Dallas,United States,17.90
1859,Dallas,United States,17.91
1860,Dallas,United States,18.34
1861,Dallas,United States,18.41
1862,Dallas,United States,18.35
1863,Dallas,United States,17.90
1864,Dallas,United States,17.41
1865,Dallas,United States,17.95
1866,Dallas,United States,17.79
1867,Dallas,United States,18.45
1868,Dallas,United States,17.61
1869,Dallas,United States,16.94
1870,Dallas,United States,17.82
1871,Dallas,United States,18.27
1872,Dallas,United States,17.28
1873,Dallas,United States,17.37
1874,Dallas,United States,18.24
1875,Dallas,United States,17.24
1876,Dallas,United States,17.67
1877,Dallas,United States,17.53
1878,Dallas,United States,18.01
1879,Dallas,United States,18.37
1880,Dallas,United States,17.75
1881,Dallas,United States,18.17
1882,Dallas,United States,18.21
1883,Dallas,United States,17.77
1884,Dallas,United States,17.44
1885,Dallas,United States,16.82
1886,Dallas,United States,17.22
1887,Dallas,United States,17.89
1888,Dallas,United States,17.28
1889,Dallas,United States,17.71
1890,Dallas,United States,18.50
1891,Dallas,United States,17.35
1892,Dallas,United States,17.21
1893,Dallas,United States,18.01
1894,Dallas,United States,17.96
1895,Dallas,United States,17.02
1896,Dallas,United States,18.60
1897,Dallas,United States,17.93
1898,Dallas,United States,17.41
1899,Dallas,United States,17.59
1900,Dallas,United States,18.08
1901,Dallas,United States,18.02
1902,Dallas,United States,18.03
1903,Dallas,United States,16.64
1904,Dallas,United States,18.12
1905,Dallas,United States,16.97
1906,Dallas,United States,17.30
1907,Dallas,United States,18.44
1908,Dallas,United States,18.24
1909,Dallas,United States,18.62
1910,Dallas,United States,18.49
1911,Dallas,United States,19.11
1912,Dallas,United States,17.10
1913,Dallas,United States,17.57
1914,Dallas,United States,17.75
1915,Dallas,United States,17.67
1916,Dallas,United States,18.23
1917,Dallas,United States,17.30
1918,Dallas,United States,18.20
1919,Dallas,United States,17.41
1920,Dallas,United States,17.55
1921,Dallas,United States,19.48
1922,Dallas,United States,18.60
1923,Dallas,United States,18.15
1924,Dallas,United States,17.48
1925,Dallas,United States,18.98
1926,Dallas,United States,17.62
1927,Dallas,United States,18.79
1928,Dallas,United States,17.93
1929,Dallas,United States,17.58
1930,Dallas,United States,18.04
1931,Dallas,United States,18.57
1932,Dallas,United States,17.99
1933,Dallas,United States,19.34
1934,Dallas,United States,19.34
1935,Dallas,United States,18.09
1936,Dallas,United States,18.21
1937,Dallas,United States,17.94
1938,Dallas,United States,19.12
1939,Dallas,United States,19.16
1940,Dallas,United States,17.19
1941,Dallas,United States,18.27
